data,label
menage a trois,1
milf,1
mission,0
position,0
missionary position,1
mong,1
motherfucker,1
venus,0
mound of venus,1
mr hands,1
mr,0
hands,0
muff diver,1
diver,0
muffdiving,1
nambla,1
nawashi,1
negro,1
neonazi,1
nigga,1
nigger,1
nig nog,1
nimphomania,1
nipple,1
nipples,1
nsfw,1
nsfw images,1
nude,1
nudity,1
nutten,1
nympho,1
nymphomania,1
octopussy,1
omorashi,1
one cup two girls,1
girl,0
cup,0
one,0
guy,0
jar,0
one guy one jar,1
orgasm,1
orgy,1
paedophile,1
paki,1
panties,1
panty,1
pedobear,1
pedophile,1
pegging,1
penis,1
phone sex,1
piece of shit,1
pikey,1
pissing,1
piss pig,1
pisspig,1
playboy,1
play,0
boy,0
pleasure chest,1
chest,0
pole smoker,1
pole,0
ponyplay,1
pony,0
poof,1
poon,1
poontang,1
punany,1
poop chute,1
poopchute,1
porn,1
porno,1
pornography,1
prince albert piercing,1
pthc,1
pubes,1
pussy,1
queaf,1
queef,1
quim,1
raghead,1
rag,0
head,0
raging boner,1
rape,1
raping,1
rapist,1
rectum,1
reverse cowgirl,1
rimjob,1
rimming,1
rosy palm,1
rosy palm and her 5 sisters,1
palm,0
5,0
sister,0
rusty trombone,1
rusty,0
sadism,1
santorum,1
scat,1
schlong,1
scissoring,1
scissor,0
semen,1
sex,1
sexcam,1
sexo,1
sexy,1
sexual,1
sexually,1
sexuality,1
shaved beaver,1
shave,0
beaver,0
shaved pussy,1
shemale,1
shibari,1
shit,1
shitblimp,1
shitty,1
shota,1
shrimping,1
skeet,1
slanteye,1
slut,1
s&m,1
smut,1
snatch,1
snowballing,1
sodomize,1
sodomy,1
spastic,1
spic,1
splooge,1
splooge moose,1
spooge,1
spread legs,1
spread,0
leg,0
spunk,1
strap on,1
on,0
strapon,1
strappado,1
strip club,1
club,0
dog,0
style doggy,1
suck,1
sucks,1
suicide girls,1
sultry women,1
swastika,1
swinger,1
tainted love,1
taint,0
tea bagging,1
tea,0
bag,0
threesome,1
throating,1
throat,0
thumbzilla,1
thumb,0
tied up,1
tie,0
up,0
tight white,1
white,0
tit,1
tits,1
titties,1
titty,1
tongue in a,1
topless,1
tosser,1
towelhead,1
tranny,1
tribadism,1
tub girl,1
girl,0
tubgirl,1
tub,0
tushy,1
twat,1
twink,1
twinkie,1
two girls one cup,1
cup,0
undressing,1
upskirt,1
urethra play,1
urophilia,1
vagina,1
venus mound,1
viagra,1
vibrator,1
violet wand,1
wand,0
vorarephilia,1
voyeur,1
voyeurweb,1
voyuer,1
vulva,1
wank,1
wetback,1
wet dream,1
wet,0
dream,0
white power,1
white,0
whore,1
worldsex,1
world,0
wrapping men,1
men,0
star,0
fish,0
wrinkled starfish,1
xx,1
xxx,1
yaoi,1
yellow,0
shower,0
yellow showers,1
yiffy,1
zoophilia,1
🖕,1
zoo,0
